EVENT,TYPE,HOURS
A13.050,IMAT,2
A13.060,LAB,2
A13.070,LAB,2
,,
,,
TRAINING HOURS,,6
,,
DAY 133,,
EVENT,TYPE,HOURS
A13.170,MSN PLN,3
A13.180,CST 6,4
,,
TRAINING HOURS,,7
,,
DAY 138,,
EVENT,TYPE,HOURS
A13.280,IGR,3
A14.010,ICW,2
A14.020,ICW,2
,,
TRAINING HOURS,,7
,,
DAY 143,,
EVENT,TYPE,HOURS
A14.200,MSN PLN,3
A14.210,AC DIP 2,5
,,
,,
TRAINING HOURS,,8
,,
DAY 148,,
EVENT,TYPE,HOURS
A15.090,MSN PLN,3
A15.100,WTT 27,4
,,
TRAINING HOURS,,7
,,
DAY 153,,
EVENT,TYPE,HOURS
A16.090,MSN PLN,3
A16.100,CST 8,4
,,
TRAINING HOURS,,7
,,
DAY 158,,
EVENT,TYPE,HOURS
A16.190,IGR,3
A17.010,ICW,3
,,
TRAINING HOURS,,6
,,
DAY 163,,
EVENT,TYPE,HOURS
A17.100,MSN PLN,3
A17.110,CST 13 X,4
,,
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 168,,
EVENT,TYPE,HOURS
A18.050,OPEN BK ,4
,EXAM,
,,
TRAINING HOURS,,4
,,
DAY 173,,
EVENT,TYPE,HOURS
A18.120,MSN PLN,3
A18.130,WTT 30,4
,,
,,
,,
TRAINING HOURS,,7
,,
,,
DAY 4,,
EVENT,TYPE,HOURS
A1.100,LAB,6
A 1.110,LAB,2
,,
,,
TRAINING HOURS,,8
,,
DAY 9,,
EVENT,TYPE,HOURS
A2.050,ICW,2
A2.060,ICW,2
A2.070,ICW,2
A2.080,ICW,2
TRAINING HOURS,,8
,,
DAY 14,,
EVENT,TYPE,HOURS
A2.210,ICW,2
A2.220,SAC D,4
A2.230,ICW,2
,,
TRAINING HOURS,,8
,,
DAY 19,,
EVENT,TYPE,HOURS
A3.060,CAI,2
A3.070,ICW,3
A3.110,ICW,2
TRAINING HOURS,,7
,,
DAY 24,,
EVENT,TYPE,HOURS
A4.040,ICW,2
A4.050,ICW,2
A4.060,ICW,2
A8.160,ICW,2
TRAINING HOURS,,8
,,
DAY 29,,
EVENT,TYPE,HOURS
A4.170,ICW,2.5
A4.180,ICW,2.5
A4.190,CAI,3
,,
,,
TRAINING HOURS,,8
,,
DAY 34,,
EVENT,TYPE,HOURS
A5.110,ICW,2
A5.120,ICW,2
A5.130,ICW,1
A5.140,ICW,1
A5.150,ICW,1
A5.160,ICW,1
TRAINING HOURS,,8
,,
DAY 39,,
EVENT,TYPE,HOURS
A5.280,ICW,1
A5.290,ICW,1
A5.340,ICW,1
A5.350,ICW,1
A5.380,ICW,1
A5.390,ICW,1
A5.400,ICW,2
TRAINING HOURS,,8
,,
DAY 44,,
EVENT,TYPE,HOURS
A5.410,ICW,2
A5.420,ICW,2
A5.430,ICW,2
A5.440,ICW,1
TRAINING HOURS,,7
,,
DAY 49,,
EVENT,TYPE,HOURS
A5.540,MSN PLN,3
A5.550,AC JUMPS,5
,,
,,
TRAINING HOURS,,8
,,
DAY 54  ,,
EVENT,TYPE,HOURS
A6.110,MSN PLN,3
A6.120,NATS UTIL 2,3
,RAST/HIFR,
,,
TRAINING HOURS,,6
,,
DAY 59,,
EVENT,TYPE,HOURS
A6.230,MSN PLN,3
A6.240,CAL/LZ,5
,,
,,
TRAINING HOURS,,8
,,
DAY 64,,
EVENT,TYPE,HOURS
A7.010,CAI ,0.5
A7.020,SUW INTEL CAI,0.5
A7.030,SUW INTEL CAI,0.5
A7.040,SUW INTEL CAI,1
A7.050,CAI ,2
TRAINING HOURS,,4.5
,,
DAY 69,,
EVENT,TYPE,HOURS
A7.170,MSN PLN,3
A7.180,WTT 2,4
,,
TRAINING HOURS,,7
,,
DAY 74,,
EVENT,TYPE,HOURS
A7.270,MSN PLN,3
A7.280,AC SUW 2,5
,,
,,
TRAINING HOURS,,8
,,
DAY 79,,
EVENT,TYPE,HOURS
A8.170,ICW,2
A8.180,ICW,2
A8.190,ICW,2
A8.210,CAI,2
,,
TRAINING HOURS,,8
,,
DAY 84,,
EVENT,TYPE,HOURS
A8.240,MSN PLN,3
A8.250,AC SUW 4,5
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 89,,
EVENT,TYPE,HOURS
A9.145,MSN PLN,3
A9.150,WTT FLIR-HF,4
,,
,,
,,
,,
